Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,crop_yield,Predicted_price
Angola,Cassava,2010,1010,40.0,24.44,,
Thailand,Soybeans,2006,1622,41220.0,27.92,,
Turkey,Maize,2010,593,38554.69,13.8,,
South Africa,Sorghum,1996,495,19508.0,15.23,,
Canada,Wheat,2010,537,61050.0,9.47,,
Dominican Republic,Maize,2007,1410,5689.8,27.12,,
Croatia,Potatoes,2004,1113,2174.0,10.06,,
Dominican Republic,"Rice, paddy",1991,1410,4971.0,26.43,,
Ecuador,Cassava,2013,2274,6471.77,21.94,,
Guatemala,Potatoes,2001,1996,10023.42,19.62,,
Chile,Wheat,2012,1522,9830.72,6.82,,
Netherlands,Wheat,2011,778,10953.91,10.73,,
Sweden,Wheat,2010,624,1982.0,6.01,,
South Africa,Sweet potatoes,2000,495,26857.0,18.26,,
Jamaica,Sweet potatoes,1995,2051,1445.12,27.4,,
Colombia,Maize,2000,3240,75843.0,22.01,,
Brazil,Potatoes,1990,1761,49695.0,24.64,,
Uruguay,"Rice, paddy",2006,1300,9143.45,17.13,,
New Zealand,Potatoes,2010,1732,5086.0,13.54,,
Brazil,Potatoes,1996,1761,101621.67,18.63,,
